Приоритет,Компания,Ниша,Город,Контакт,Источник,Почему хороший лид,Статус,Следующий шаг
A,DOMKUHNI,Мебель на заказ (кухни/шкафы),Алматы,IG @domkuhni.kz (134K),https://www.instagram.com/domkuhni.kz/,"134K подписчиков, 7500+ клиентов — поток Direct-заявок теряется без CRM",Новый,
A,SHKAFFNUR,Мебель на заказ,Алматы,IG @shkaffnur (52K),https://www.instagram.com/shkaffnur/,"52K, заявки только через Direct — острая боль без CRM",Новый,
A,ART КУХНИ АЛМАТЫ,Кухни на заказ,Алматы,IG @art.kuhni.almaty (28K),https://www.instagram.com/art.kuhni.almaty/,"28K, 5000+ клиентов, весь лидген в Instagram",Новый,
A,BASTAU MEBEL,Мебель на заказ,Алматы,WhatsApp +7 747 592 8381 / IG @bastau_mebel01,https://www.instagram.com/bastau_mebel01/,WhatsApp — основной канал заявок,Новый,
A,SILVER HOME,Мебель на заказ,Астана,IG @silverhome.kz,https://www.instagram.com/silverhome.kz/,Собственное производство + заявки через Instagram,Новый,
A,MEBELION,Мебель на заказ,Астана,IG @mebelion_astana,https://www.instagram.com/mebelion_astana/,Рассрочка + производство = длинный цикл сделки,Новый,
A,Astana Mebel Group,Мебель на заказ,Астана,+7 701 162 8888 (WhatsApp) / IG @astanamg.kz,https://astanamg.kz/,Весь цикл замер/3D/заказ через звонок+WhatsApp,Новый,
A,Zhan Mebel,Корпусная мебель на заказ,Астана,+7 700 550-88-99,https://zhanmebel.kz/,Мебель на заказ = заявки через мессенджеры,Новый,
B,Fontanero.kz,Сантехника,Астана,+7 701 027 80 08 (WhatsApp) / IG @fontanero.kz,https://www.fontanero.kz/,Заявки уже идут через WhatsApp/Instagram,Новый,
B,СНАБШОП,Сантехника опт,Астана,+7 776 857 7722 (WhatsApp) / IG @snabshop.kz,https://snabshop.kz/,Онлайн-заказы и WhatsApp — много входящих,Новый,
B,Bulak,Сантехника опт+розница,Алматы,+7 707 222 19 19 (WhatsApp) / IG @santehbulak,https://www.bulak-opt.kz/,Отдел опта + 5000+ SKU — B2B-поток заявок,Новый,
B,Neoceramica,Сантехника (крупный ИМ),Алматы,+7 707 380 99 80 (WhatsApp) / IG @neo_ceramica.kz,https://neoceramica.kz/,Крупнейший онлайн-магазин + филиал в Астане,Новый,
B,Мастерская Уюта,Сантехника,Астана/Алматы,+7 705 573 30 40,https://astana.vmasterskoy.kz/,Заявки распылены — CRM соберёт в одну воронку,Новый,
B,12.kz,Сантехника доставка РК,Алматы,+7 727 313 18 20,https://12.kz/,Мультигородская доставка — нужна централизация,Новый,
B,Мир Керамики,Керамогранит+сантехника,Астана+Алматы,WhatsApp +7 707 744 05 04 / IG @mirceramiki.kz,https://mirceramiki.kz/,Активный IG + отдельная линия WhatsApp,Новый,
B,Ceramo Stone Group,Керамогранит+сантехника,Астана+Алматы,+7 771 727-07-04 / IG @ceramo_stone_group (85K),https://ceramostone.com.kz/,"Огромный IG, ""расчёт за 15 мин"" — воронка через чат",Новый,
B,KERAMACITY,Керамогранит,Астана,+7 701 708-50-00 (WhatsApp),https://www.keramacity.kz/,Несколько WhatsApp-номеров — обработка вручную,Новый,
B,ProCeramic,Керамогранит+сантехника,Астана,IG+WhatsApp (тел уточнить в 2ГИС),https://2gis.kz/astana/firm/70000001069368660,"Рейтинг 4.8, заявки через мессенджеры",Новый,
B,Студия OASIS,Плитка+сантехника,Астана+Алматы,+7 777 645-78-85 / IG @studio_oasis_comkz,https://www.oasis.com.kz/,Салонный формат, консультативные продажи,Новый,
B,TauCeramic,Плитка,Алматы,WhatsApp +7 777 255 5287 / IG @tau_ceramic,https://www.instagram.com/tau_ceramic/,Продажи из шоурума через IG/WhatsApp,Новый,
B,LADY PLITKA,Плитка,Алматы,WhatsApp +7 771 376 5014 / IG @lady_plitka,https://ladyplitka.kz/,Консультации через WhatsApp,Новый,
B,Costa Ceramica,Плитка,Астана+др,WhatsApp +7 705 245 02 80 / IG+TG @costa_ceramica,https://costaceramica.kz/,Мульти-канал IG+TG+WhatsApp на неск. городов,Новый,
B,Neostrim,Стройматериалы+опт,Алматы,WhatsApp +7 707 101 8868 / IG @neostrim_kz,https://neostrim.kz/,Два WhatsApp + IG — распределённый поток,Новый,
C,ТК Сталь,Металлопрокат опт,Астана+Алматы,+7 707 777-77-12 / WhatsApp +7 708 555-5502 / IG @tksteel.kz,https://tk-steel.kz/,Заявки через менеджеров+WhatsApp, 12 городов,Новый,
C,Урал Тех Экспорт,Металлопрокат опт,Астана,+7 7172 64-06-71 / Telegram @exportural_bot,https://exportural.kz/,Большой каталог, оптовые заявки,Новый,
C,ATAYURT,Металлоконструкции (производство),Астана,+7 701 516-0473 (WhatsApp),https://atayurt-astana.kz/,Производство под заказ, запросы через WhatsApp,Новый,
C,Казметсервис,Металлоконструкции (производство),Астана,+7 7172 69-59-03 / IG @kzmc_kz,https://astana.kzmc.kz/,Производитель с B2B-заявками и соцсетями,Новый,
